PROVINCE,DISTRICT,POPULATION,2020 14,2020 15,2020 16,2020 17,2020 18,2020 19,2020 20,2020 21,2020 22,2020 23,2020 24,2020 25,2020 26,2020 27,2020 28,2020 29,2020 30,2020 31,2020 32,2020 33,2020 34,2020 35,2020 36,2020 37,2020 38,2020 39,2020 40,2020 41,2020 42,2020 43,2020 44,2020 45,2020 46,2020 47,2020 48,2020 49,2020 50,2020 51,2020 52,2020 53,2020 Total ,2021 1,2021 2,2021 3,2021 4,2021 5,2021 6,2021 7,2021 8,2021 9,2021 10,2021 11,2021 12,2021 13,2021 14,2021 15,2021 16,2021 17,2021 18,2021 19,2021 20,2021 21,2021 22,2021 23,2021 24,2021 25,2021 26,2021 27,2021 28,2021 29,2021 30,2021 31,2021 32,2021 33,2021 34,2021 35,2021 36,2021 37,2021 38,2021 39,2021 40,2021 41,2021 42,2021 43,2021 44,2021 45,2021 46,2021 47,2021 48,2021 49,2021 50,2021 51,2021 52,2021 53,2021 Total ,2022 1,2022 2,2022 3,2022 4,2022 5,2022 6,2022 7,2022 8,2022 9,2022 10,2022 11,2022 12,2022 13,2022 14,2022 15,2022 16,2022 17,2022 18,2022 19,2022 20,2022 21,2022 22,2022 23,2022 24,2022 25,2022 26,2022 27,2022 28,2022 29,2022 30,2022 31,2022 32,2022 33,2022 34,2022 35,2022 36,2022 37,2022 38,2022 39,2022 40,2022 41,2022 42,2022 43,2022 44,2022 45,2022 46,2022 47,2022 48,2022 49,2022 50,2022 51,2022 52,2022 Total ,Grand Total 
GAZA,CHIGUBO,"22,080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,15,63,10,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,8,27,71,0,227,103,20,8,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,1,0,0,1,4,0,0,3,1,0,0,1,0,0,0,0,0,29,185,417
GAZA,CHOCKWE,"217,019",0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,6,70,2,19,1,2,10,11,3,1,0,5,1,1,1,0,1,13,1,0,0,2,155,21,13,9,37,49,31,24,17,0,1,0,0,1,0,0,1,1,0,1,1,2,2,0,0,0,17,50,54,25,105,5,42,5,14,5,2,0,1,0,0,0,0,0,0,3,0,0,5,11,18,57,382,0,1012,122,147,38,20,7,2,20,0,1,0,0,0,0,0,1,5,5,0,0,0,9,0,3,0,0,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,432,1599
GAZA,CHONGOENE,"118,911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,6,0,0,0,0,0,1,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,18,4,5,38,30,13,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,14,31,13,25,39,2,8,1,65,1,3,0,1,0,0,0,0,0,0,1,1,0,18,81,76,120,0,615,93,39,6,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,3,4,4,7,3,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,216,853
GAZA,GUIJA,"89,996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,22,22,29,0,34,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,15,18,59,24,62,61,24,3,11,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,23,79,188,0,697,73,22,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,134,840
GAZA,LIMPOPO,"150,394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,8,0,39,50,58,6,3,4,2,0,0,5,7,0,0,0,0,0,1,0,0,4,0,13,51,43,16,137,128,27,21,6,6,2,1,1,0,3,2,0,0,1,0,0,0,0,4,49,65,199,0,971,131,55,19,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,8,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,311,1288
GAZA,MABALANE,"38,644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,17,15,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,7,6,19,11,54,16,0,9,1,4,3,4,1,0,1,1,1,0,0,2,1,7,48,150,0,395,74,31,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,8,3,2,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,165,560
GAZA,MANDLAKAZI,"137,068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,12,2,5,0,1,25,1,10,1,12,35,20,82,0,1,5,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,1,40,62,41,74,130,33,40,33,31,4,4,9,4,1,1,1,0,2,1,1,0,0,3,83,112,412,0,1296,380,143,56,7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,5,5,7,14,19,13,9,1,1,5,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,64,747,2068
GAZA,MAPAI,"28,441",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,32,21,36,17,2,4,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,56,113,0,303,84,6,4,4,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,436
GAZA,MASSANGENA,"21,562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,15,21,10,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,6,9,58,0,159,94,29,10,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,9,12,12,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,198,357
GAZA,MASSINGIR,"36,750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,1,1,3,7,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,4,13,27,28,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,70,75,0,269,101,0,33,6,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,23,20,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,472
