susceptible
0.999
0.99869
0.99826
0.99778
0.99736
0.9969
0.99639
0.99582
0.99514
0.99435
0.99353
0.99269
0.99169
0.99059
0.98942
0.98832
0.98706
0.9858
0.98432
0.98289
0.98119
0.97941
0.97734
0.9755
0.97338
0.97128
0.96873
0.96625
0.96362
0.96074
0.9578
0.95462
0.95113
0.94748
0.94377
0.93991
0.93589
0.93163
0.92708
0.92259
0.91766
0.91254
0.90734
0.90198
0.89623
0.89055
0.88455
0.87875
0.8728
0.86647
0.86008
0.85324
0.84614
0.83894
0.83185
0.82491
0.8177
0.81014
0.80278
0.79532
0.78849
0.78113
0.77403
0.76665
0.75918
0.75282
0.7465
0.73957
0.73323
0.72726
0.72116
0.71533
0.70957
0.70402
0.69834
0.69259
0.68698
0.68258
0.67816
0.67382
0.66908
0.66496
0.66091
0.65705
0.65322
0.64993
0.64693
0.64401
0.64118
0.63846
0.63576
0.63303
0.63075
0.62849
0.62635
0.62438
0.62252
0.62077
0.61916
0.61735
0.61574
0.61426
0.61271
0.61135
0.60994
0.60859
0.6073
0.60618
0.60507
0.60405
0.60286
0.60192
0.60083
0.59984
0.599
0.59832
0.59752
0.59666
0.59612
0.59556
0.59503
0.59459
0.59419
0.59372
0.59328
0.5929
0.59255
0.59218
0.59193
0.59157
0.59129
0.59105
0.59081
0.59067
0.59056
0.59043
0.5903
0.59011
0.59
0.58978
0.58962
0.58949
0.5894
0.5893
0.58914
0.58909
0.58902
0.58895
0.58888
0.58882
0.58875
0.58865
0.58861
0.58854
0.5885
0.58845
0.5884
0.58837
0.58832
0.58828
0.58818
0.58813
0.58803
0.58793
0.58783
0.5878
0.58776
0.5877
0.58762
0.58757
0.58751
0.58743
0.58738
0.5873
0.58721
0.58716
0.58711
0.58703
0.58697
0.5869
0.58682
0.5868
0.58673
0.58661
0.58655
0.58647
0.58642
0.58626
0.58607
0.58592
0.58567
0.58545
0.58514
0.58485
0.58443
0.5839
0.58327
0.58255
0.58149
0.58038
0.57897
0.57705
0.57498
0.57209
0.56886
0.56456
0.55888
0.55184
0.54294
0.53113
0.51688
0.49943
0.47852
0.45387
0.42463
0.39221
0.35723
0.32196
0.28693
0.25326
0.2223
0.19511
0.17243
0.15323
0.13703
0.12395
0.11412
0.10589
0.09941
0.09439
0.08986
0.08663
0.08406
0.082
0.08028
0.07889
0.07803
0.07717
0.07633
0.07561
0.07513
0.07462
0.0742
0.07388
0.07361
0.0734
0.07322
0.07309
0.07299
0.07294
0.07282
0.07278
0.07276
0.07271
0.07268
0.07266
0.07265
0.07264
0.07263
0.0726
0.07259
0.07259
0.07259
0.07259
0.07259
0.07259
0.07259
0.07259
0.07259
0.07258
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
0.07257
