param,rt_0,rt_1,midpoint,k,n_t,t_I,N,S0,I0
49035,1.4000000000000004,4.100000000000003,106,0.8,365,4,100000,99900,100
26088,1.3000000000000005,4.500000000000004,132,0.8,365,4,100000,99900,100
91699,1.6000000000000003,4.700000000000003,118,0.6,365,4,100000,99900,100
59563,1.4000000000000004,4.900000000000004,146,0.2,365,4,100000,99900,100
32935,1.4000000000000004,2.6000000000000014,88,0.6,365,4,100000,99900,100
67997,1.5000000000000004,3.9000000000000026,114,0.1,365,4,100000,99900,100
5112,1.3000000000000005,2.700000000000001,192,0.1,365,4,100000,99900,100
77413,1.5000000000000004,4.600000000000003,150,0.3,365,4,100000,99900,100
74465,1.5000000000000004,4.400000000000003,118,0.4,365,4,100000,99900,100
21161,1.3000000000000005,4.100000000000003,102,0.8,365,4,100000,99900,100
82576,1.5000000000000004,5.000000000000004,123,0.6,365,4,100000,99900,100
86110,1.6000000000000003,4.200000000000003,110,0.8,365,4,100000,99900,100
8520,1.3000000000000005,3.0000000000000018,163,0.1,365,4,100000,99900,100
88322,1.6000000000000003,4.400000000000003,124,0.6,365,4,100000,99900,100
21282,1.3000000000000005,4.100000000000003,118,0.8,365,4,100000,99900,100
52763,1.4000000000000004,4.400000000000003,91,0.8,365,4,100000,99900,100
8021,1.3000000000000005,3.0000000000000018,99,0.8,365,4,100000,99900,100
34183,1.4000000000000004,2.9000000000000017,122,0.5,365,4,100000,99900,100
220,1.3000000000000005,2.200000000000001,111,0.7000000000000001,365,4,100000,99900,100
90249,1.6000000000000003,4.600000000000003,83,0.6,365,4,100000,99900,100
95085,1.6000000000000003,5.000000000000004,78,0.6,365,4,100000,99900,100
15764,1.3000000000000005,3.6000000000000023,169,0.3,365,4,100000,99900,100
31188,1.3000000000000005,4.900000000000004,187,0.2,365,4,100000,99900,100
83816,1.6000000000000003,3.9000000000000026,87,0.8,365,4,100000,99900,100
29691,1.3000000000000005,4.800000000000003,145,0.7000000000000001,365,4,100000,99900,100
19972,1.3000000000000005,4.000000000000003,101,0.8,365,4,100000,99900,100
34382,1.4000000000000004,2.9000000000000017,147,0.5,365,4,100000,99900,100
19421,1.3000000000000005,3.9000000000000026,181,0.7000000000000001,365,4,100000,99900,100
96727,1.7000000000000006,4.700000000000003,70,0.4,365,4,100000,99900,100
67833,1.5000000000000004,3.9000000000000026,93,0.5,365,4,100000,99900,100
25999,1.3000000000000005,4.500000000000004,121,0.6,365,4,100000,99900,100
73139,1.5000000000000004,4.3000000000000025,120,0.7000000000000001,365,4,100000,99900,100
66858,1.5000000000000004,3.8000000000000025,120,0.2,365,4,100000,99900,100
20222,1.3000000000000005,4.000000000000003,133,0.8,365,4,100000,99900,100
62529,1.5000000000000004,3.400000000000002,107,0.5,365,4,100000,99900,100
53245,1.4000000000000004,4.400000000000003,152,0.4,365,4,100000,99900,100
85004,1.6000000000000003,4.100000000000003,94,0.6,365,4,100000,99900,100
99290,1.7000000000000006,5.000000000000004,84,0.4,365,4,100000,99900,100
73006,1.5000000000000004,4.3000000000000025,104,0.2,365,4,100000,99900,100
14065,1.3000000000000005,3.500000000000002,105,0.5,365,4,100000,99900,100
59570,1.4000000000000004,4.900000000000004,147,0.1,365,4,100000,99900,100
42866,1.4000000000000004,3.6000000000000023,141,0.3,365,4,100000,99900,100
19133,1.3000000000000005,3.9000000000000026,145,0.7000000000000001,365,4,100000,99900,100
49251,1.4000000000000004,4.100000000000003,133,0.8,365,4,100000,99900,100
35073,1.4000000000000004,3.0000000000000018,97,0.6,365,4,100000,99900,100
56605,1.4000000000000004,4.700000000000003,94,0.3,365,4,100000,99900,100
77146,1.5000000000000004,4.600000000000003,116,0.8,365,4,100000,99900,100
8419,1.3000000000000005,3.0000000000000018,150,0.4,365,4,100000,99900,100
60717,1.4000000000000004,5.000000000000004,132,0.1,365,4,100000,99900,100
59456,1.4000000000000004,4.900000000000004,132,0.7000000000000001,365,4,100000,99900,100
21228,1.3000000000000005,4.100000000000003,112,0.1,365,4,100000,99900,100
75723,1.5000000000000004,4.500000000000004,107,0.2,365,4,100000,99900,100
42441,1.4000000000000004,3.6000000000000023,87,0.5,365,4,100000,99900,100
17068,1.3000000000000005,3.7000000000000015,183,0.4,365,4,100000,99900,100
68200,1.5000000000000004,3.9000000000000026,139,0.4,365,4,100000,99900,100
59463,1.4000000000000004,4.900000000000004,133,0.6,365,4,100000,99900,100
1214,1.3000000000000005,2.400000000000001,148,0.6,365,4,100000,99900,100
47990,1.4000000000000004,4.000000000000003,136,0.7000000000000001,365,4,100000,99900,100
2223,1.3000000000000005,2.5000000000000013,133,0.4,365,4,100000,99900,100
23720,1.3000000000000005,4.3000000000000025,130,0.2,365,4,100000,99900,100
78260,1.5000000000000004,4.700000000000003,87,0.8,365,4,100000,99900,100
70452,1.5000000000000004,4.100000000000003,110,0.7000000000000001,365,4,100000,99900,100
58372,1.4000000000000004,4.800000000000003,156,0.1,365,4,100000,99900,100
46460,1.4000000000000004,3.9000000000000026,106,0.6,365,4,100000,99900,100
15453,1.3000000000000005,3.6000000000000023,130,0.4,365,4,100000,99900,100
84174,1.6000000000000003,4.000000000000003,85,0.5,365,4,100000,99900,100
72867,1.5000000000000004,4.3000000000000025,86,0.5,365,4,100000,99900,100
84915,1.6000000000000003,4.100000000000003,81,0.8,365,4,100000,99900,100
20311,1.3000000000000005,4.000000000000003,145,0.1,365,4,100000,99900,100
15281,1.3000000000000005,3.6000000000000023,108,0.6,365,4,100000,99900,100
50238,1.4000000000000004,4.200000000000003,96,0.7000000000000001,365,4,100000,99900,100
36495,1.4000000000000004,3.100000000000002,134,0.1,365,4,100000,99900,100
64588,1.5000000000000004,3.6000000000000023,116,0.3,365,4,100000,99900,100
49446,1.4000000000000004,4.100000000000003,158,0.3,365,4,100000,99900,100
17861,1.3000000000000005,3.8000000000000025,134,0.6,365,4,100000,99900,100
40310,1.4000000000000004,3.400000000000002,146,0.1,365,4,100000,99900,100
71825,1.5000000000000004,4.200000000000003,121,0.5,365,4,100000,99900,100
4605,1.3000000000000005,2.700000000000001,128,0.6,365,4,100000,99900,100
52872,1.4000000000000004,4.400000000000003,105,0.7000000000000001,365,4,100000,99900,100
32143,1.3000000000000005,5.000000000000004,161,0.1,365,4,100000,99900,100
69036,1.5000000000000004,4.000000000000003,91,0.1,365,4,100000,99900,100
26181,1.3000000000000005,4.500000000000004,144,0.5,365,4,100000,99900,100
27521,1.3000000000000005,4.600000000000003,165,0.8,365,4,100000,99900,100
13087,1.3000000000000005,3.400000000000002,132,0.6,365,4,100000,99900,100
26132,1.3000000000000005,4.500000000000004,138,0.4,365,4,100000,99900,100
33001,1.4000000000000004,2.700000000000001,87,0.6,365,4,100000,99900,100
96403,1.7000000000000006,4.500000000000004,68,0.8,365,4,100000,99900,100
35391,1.4000000000000004,3.0000000000000018,138,0.3,365,4,100000,99900,100
33412,1.4000000000000004,2.8000000000000016,128,0.6,365,4,100000,99900,100
62665,1.5000000000000004,3.400000000000002,125,0.7000000000000001,365,4,100000,99900,100
99467,1.7000000000000006,5.000000000000004,107,0.5,365,4,100000,99900,100
50450,1.4000000000000004,4.200000000000003,123,0.3,365,4,100000,99900,100
67,1.3000000000000005,2.100000000000001,100,0.4,365,4,100000,99900,100
41887,1.4000000000000004,3.500000000000002,181,0.1,365,4,100000,99900,100
45593,1.4000000000000004,3.8000000000000025,159,0.5,365,4,100000,99900,100
84324,1.6000000000000003,4.000000000000003,110,0.7000000000000001,365,4,100000,99900,100
16967,1.3000000000000005,3.7000000000000015,170,0.7000000000000001,365,4,100000,99900,100
41665,1.4000000000000004,3.500000000000002,153,0.3,365,4,100000,99900,100
70378,1.5000000000000004,4.100000000000003,101,0.5,365,4,100000,99900,100
76988,1.5000000000000004,4.600000000000003,97,0.2,365,4,100000,99900,100
5814,1.3000000000000005,2.8000000000000016,127,0.6,365,4,100000,99900,100
84212,1.6000000000000003,4.000000000000003,91,0.4,365,4,100000,99900,100
9527,1.3000000000000005,3.100000000000002,137,0.8,365,4,100000,99900,100
85911,1.6000000000000003,4.200000000000003,84,0.4,365,4,100000,99900,100
538,1.3000000000000005,2.300000000000001,140,0.8,365,4,100000,99900,100
15285,1.3000000000000005,3.6000000000000023,109,0.2,365,4,100000,99900,100
6044,1.3000000000000005,2.8000000000000016,156,0.4,365,4,100000,99900,100
1000,1.3000000000000005,2.400000000000001,121,0.3,365,4,100000,99900,100
67823,1.5000000000000004,3.9000000000000026,92,0.3,365,4,100000,99900,100
30858,1.3000000000000005,4.900000000000004,145,0.8,365,4,100000,99900,100
46706,1.4000000000000004,3.9000000000000026,137,0.4,365,4,100000,99900,100
66629,1.5000000000000004,3.8000000000000025,90,0.8,365,4,100000,99900,100
54585,1.4000000000000004,4.500000000000004,160,0.4,365,4,100000,99900,100
5974,1.3000000000000005,2.8000000000000016,147,0.6,365,4,100000,99900,100
40364,1.4000000000000004,3.400000000000002,152,0.7000000000000001,365,4,100000,99900,100
9553,1.3000000000000005,3.100000000000002,141,0.2,365,4,100000,99900,100
83618,1.6000000000000003,3.7000000000000015,72,0.7000000000000001,365,4,100000,99900,100
17788,1.3000000000000005,3.8000000000000025,125,0.5,365,4,100000,99900,100
59265,1.4000000000000004,4.900000000000004,108,0.8,365,4,100000,99900,100
46796,1.4000000000000004,3.9000000000000026,148,0.6,365,4,100000,99900,100
41365,1.4000000000000004,3.500000000000002,115,0.7000000000000001,365,4,100000,99900,100
79828,1.5000000000000004,4.800000000000003,115,0.7000000000000001,365,4,100000,99900,100
89216,1.6000000000000003,4.500000000000004,98,0.3,365,4,100000,99900,100
62068,1.5000000000000004,3.300000000000002,127,0.2,365,4,100000,99900,100
35287,1.4000000000000004,3.0000000000000018,125,0.3,365,4,100000,99900,100
63365,1.5000000000000004,3.500000000000002,92,0.7000000000000001,365,4,100000,99900,100
26043,1.3000000000000005,4.500000000000004,127,0.3,365,4,100000,99900,100
46322,1.4000000000000004,3.9000000000000026,88,0.8,365,4,100000,99900,100
50382,1.4000000000000004,4.200000000000003,114,0.7000000000000001,365,4,100000,99900,100
4360,1.3000000000000005,2.700000000000001,97,0.3,365,4,100000,99900,100
42965,1.4000000000000004,3.6000000000000023,153,0.6,365,4,100000,99900,100
73405,1.5000000000000004,4.3000000000000025,154,0.1,365,4,100000,99900,100
30793,1.3000000000000005,4.900000000000004,137,0.7000000000000001,365,4,100000,99900,100
82414,1.5000000000000004,5.000000000000004,103,0.4,365,4,100000,99900,100
17943,1.3000000000000005,3.8000000000000025,144,0.8,365,4,100000,99900,100
21555,1.3000000000000005,4.100000000000003,153,0.2,365,4,100000,99900,100
69194,1.5000000000000004,4.000000000000003,110,0.7000000000000001,365,4,100000,99900,100
12236,1.3000000000000005,3.300000000000002,176,0.2,365,4,100000,99900,100
45229,1.4000000000000004,3.8000000000000025,114,0.1,365,4,100000,99900,100
40225,1.4000000000000004,3.400000000000002,135,0.4,365,4,100000,99900,100
22815,1.3000000000000005,4.200000000000003,163,0.8,365,4,100000,99900,100
51586,1.4000000000000004,4.3000000000000025,105,0.1,365,4,100000,99900,100
91403,1.6000000000000003,4.700000000000003,80,0.6,365,4,100000,99900,100
25350,1.3000000000000005,4.400000000000003,187,0.2,365,4,100000,99900,100
86150,1.6000000000000003,4.200000000000003,115,0.8,365,4,100000,99900,100
1949,1.3000000000000005,2.5000000000000013,97,0.3,365,4,100000,99900,100
68126,1.5000000000000004,3.9000000000000026,130,0.2,365,4,100000,99900,100
42715,1.4000000000000004,3.6000000000000023,122,0.4,365,4,100000,99900,100
61939,1.5000000000000004,3.300000000000002,95,0.4,365,4,100000,99900,100
69208,1.5000000000000004,4.000000000000003,112,0.5,365,4,100000,99900,100
61984,1.5000000000000004,3.300000000000002,103,0.7000000000000001,365,4,100000,99900,100
60784,1.4000000000000004,5.000000000000004,140,0.4,365,4,100000,99900,100
36215,1.4000000000000004,3.100000000000002,98,0.7000000000000001,365,4,100000,99900,100
93982,1.6000000000000003,4.900000000000004,99,0.3,365,4,100000,99900,100
12268,1.3000000000000005,3.300000000000002,180,0.2,365,4,100000,99900,100
8629,1.3000000000000005,3.0000000000000018,176,0.6,365,4,100000,99900,100
33954,1.4000000000000004,2.9000000000000017,90,0.8,365,4,100000,99900,100
7199,1.3000000000000005,2.9000000000000017,148,0.8,365,4,100000,99900,100
39929,1.4000000000000004,3.400000000000002,98,0.4,365,4,100000,99900,100
21713,1.3000000000000005,4.100000000000003,172,0.8,365,4,100000,99900,100
32260,1.3000000000000005,5.000000000000004,175,0.6,365,4,100000,99900,100
62599,1.5000000000000004,3.400000000000002,116,0.5,365,4,100000,99900,100
62475,1.5000000000000004,3.400000000000002,99,0.7000000000000001,365,4,100000,99900,100
43790,1.4000000000000004,3.7000000000000015,95,0.5,365,4,100000,99900,100
14628,1.3000000000000005,3.500000000000002,176,0.1,365,4,100000,99900,100
96388,1.7000000000000006,4.400000000000003,72,0.6,365,4,100000,99900,100
73119,1.5000000000000004,4.3000000000000025,118,0.3,365,4,100000,99900,100
41719,1.4000000000000004,3.500000000000002,160,0.1,365,4,100000,99900,100
29587,1.3000000000000005,4.800000000000003,132,0.7000000000000001,365,4,100000,99900,100
8220,1.3000000000000005,3.0000000000000018,125,0.5,365,4,100000,99900,100
14438,1.3000000000000005,3.500000000000002,152,0.3,365,4,100000,99900,100
92712,1.6000000000000003,4.800000000000003,94,0.2,365,4,100000,99900,100
178,1.3000000000000005,2.200000000000001,105,0.3,365,4,100000,99900,100
13142,1.3000000000000005,3.400000000000002,139,0.5,365,4,100000,99900,100
60867,1.4000000000000004,5.000000000000004,150,0.7000000000000001,365,4,100000,99900,100
53071,1.4000000000000004,4.400000000000003,130,0.6,365,4,100000,99900,100
34351,1.4000000000000004,2.9000000000000017,143,0.6,365,4,100000,99900,100
65686,1.5000000000000004,3.7000000000000015,116,0.6,365,4,100000,99900,100
44059,1.4000000000000004,3.7000000000000015,129,0.2,365,4,100000,99900,100
32152,1.3000000000000005,5.000000000000004,162,0.2,365,4,100000,99900,100
8552,1.3000000000000005,3.0000000000000018,167,0.1,365,4,100000,99900,100
88192,1.6000000000000003,4.400000000000003,108,0.4,365,4,100000,99900,100
7002,1.3000000000000005,2.9000000000000017,124,0.3,365,4,100000,99900,100
78273,1.5000000000000004,4.700000000000003,89,0.5,365,4,100000,99900,100
16665,1.3000000000000005,3.7000000000000015,133,0.1,365,4,100000,99900,100
45669,1.4000000000000004,3.8000000000000025,169,0.1,365,4,100000,99900,100
81387,1.5000000000000004,4.900000000000004,142,0.5,365,4,100000,99900,100
28450,1.3000000000000005,4.700000000000003,136,0.4,365,4,100000,99900,100
65887,1.5000000000000004,3.7000000000000015,141,0.7000000000000001,365,4,100000,99900,100
40332,1.4000000000000004,3.400000000000002,148,0.7000000000000001,365,4,100000,99900,100
90184,1.6000000000000003,4.600000000000003,74,0.4,365,4,100000,99900,100
16546,1.3000000000000005,3.7000000000000015,118,0.2,365,4,100000,99900,100
41463,1.4000000000000004,3.500000000000002,128,0.1,365,4,100000,99900,100
37368,1.4000000000000004,3.200000000000002,92,0.8,365,4,100000,99900,100
43792,1.4000000000000004,3.7000000000000015,95,0.7000000000000001,365,4,100000,99900,100
83884,1.6000000000000003,3.9000000000000026,110,0.4,365,4,100000,99900,100
65795,1.5000000000000004,3.7000000000000015,130,0.3,365,4,100000,99900,100
22562,1.3000000000000005,4.200000000000003,132,0.3,365,4,100000,99900,100
44060,1.4000000000000004,3.7000000000000015,129,0.3,365,4,100000,99900,100
12395,1.3000000000000005,3.300000000000002,196,0.1,365,4,100000,99900,100
56716,1.4000000000000004,4.700000000000003,108,0.2,365,4,100000,99900,100
2196,1.3000000000000005,2.5000000000000013,130,0.1,365,4,100000,99900,100
83707,1.6000000000000003,3.8000000000000025,82,0.6,365,4,100000,99900,100
58355,1.4000000000000004,4.800000000000003,153,0.8,365,4,100000,99900,100
36270,1.4000000000000004,3.100000000000002,105,0.8,365,4,100000,99900,100
32240,1.3000000000000005,5.000000000000004,173,0.2,365,4,100000,99900,100
34161,1.4000000000000004,2.9000000000000017,119,0.7000000000000001,365,4,100000,99900,100
96924,1.7000000000000006,4.700000000000003,107,0.1,365,4,100000,99900,100
53120,1.4000000000000004,4.400000000000003,136,0.7000000000000001,365,4,100000,99900,100
64524,1.5000000000000004,3.6000000000000023,108,0.3,365,4,100000,99900,100
89039,1.6000000000000003,4.500000000000004,74,0.2,365,4,100000,99900,100
11710,1.3000000000000005,3.300000000000002,110,0.4,365,4,100000,99900,100
83902,1.6000000000000003,3.9000000000000026,117,0.7000000000000001,365,4,100000,99900,100
37570,1.4000000000000004,3.200000000000002,119,0.1,365,4,100000,99900,100
74467,1.5000000000000004,4.400000000000003,118,0.6,365,4,100000,99900,100
62120,1.5000000000000004,3.300000000000002,141,0.7000000000000001,365,4,100000,99900,100
4391,1.3000000000000005,2.700000000000001,101,0.6,365,4,100000,99900,100
59699,1.4000000000000004,4.900000000000004,163,0.2,365,4,100000,99900,100
90508,1.6000000000000003,4.600000000000003,116,0.7000000000000001,365,4,100000,99900,100
59256,1.4000000000000004,4.900000000000004,107,0.7000000000000001,365,4,100000,99900,100
72934,1.5000000000000004,4.3000000000000025,95,0.2,365,4,100000,99900,100
15737,1.3000000000000005,3.6000000000000023,165,0.8,365,4,100000,99900,100
95069,1.6000000000000003,5.000000000000004,76,0.4,365,4,100000,99900,100
95189,1.6000000000000003,5.000000000000004,92,0.3,365,4,100000,99900,100
78245,1.5000000000000004,4.700000000000003,85,0.8,365,4,100000,99900,100
21401,1.3000000000000005,4.100000000000003,133,0.8,365,4,100000,99900,100
16494,1.3000000000000005,3.7000000000000015,111,0.6,365,4,100000,99900,100
61818,1.5000000000000004,3.200000000000002,96,0.3,365,4,100000,99900,100
55768,1.4000000000000004,4.600000000000003,148,0.8,365,4,100000,99900,100
46426,1.4000000000000004,3.9000000000000026,102,0.4,365,4,100000,99900,100
70262,1.5000000000000004,4.100000000000003,86,0.6,365,4,100000,99900,100
63553,1.5000000000000004,3.500000000000002,117,0.8,365,4,100000,99900,100
51953,1.4000000000000004,4.3000000000000025,150,0.8,365,4,100000,99900,100
25014,1.3000000000000005,4.400000000000003,145,0.2,365,4,100000,99900,100
22484,1.3000000000000005,4.200000000000003,122,0.4,365,4,100000,99900,100
27067,1.3000000000000005,4.600000000000003,108,0.8,365,4,100000,99900,100
90400,1.6000000000000003,4.600000000000003,103,0.3,365,4,100000,99900,100
55575,1.4000000000000004,4.600000000000003,124,0.7000000000000001,365,4,100000,99900,100
29819,1.3000000000000005,4.800000000000003,161,0.7000000000000001,365,4,100000,99900,100
54283,1.4000000000000004,4.500000000000004,122,0.6,365,4,100000,99900,100
21683,1.3000000000000005,4.100000000000003,169,0.2,365,4,100000,99900,100
62566,1.5000000000000004,3.400000000000002,112,0.4,365,4,100000,99900,100
52777,1.4000000000000004,4.400000000000003,93,0.8,365,4,100000,99900,100
51575,1.4000000000000004,4.3000000000000025,103,0.6,365,4,100000,99900,100
7188,1.3000000000000005,2.9000000000000017,147,0.5,365,4,100000,99900,100
15954,1.3000000000000005,3.6000000000000023,193,0.1,365,4,100000,99900,100
89337,1.6000000000000003,4.500000000000004,113,0.4,365,4,100000,99900,100
79826,1.5000000000000004,4.800000000000003,115,0.5,365,4,100000,99900,100
32068,1.3000000000000005,5.000000000000004,151,0.6,365,4,100000,99900,100
25883,1.3000000000000005,4.500000000000004,106,0.6,365,4,100000,99900,100
91434,1.6000000000000003,4.700000000000003,85,0.2,365,4,100000,99900,100
68233,1.5000000000000004,3.9000000000000026,143,0.5,365,4,100000,99900,100
6162,1.3000000000000005,2.8000000000000016,171,0.2,365,4,100000,99900,100
61784,1.5000000000000004,3.200000000000002,85,0.6,365,4,100000,99900,100
16882,1.3000000000000005,3.7000000000000015,160,0.2,365,4,100000,99900,100
